release_num	type	dropbox_link	zenodo_link
19.225	metadata	https://www.dropbox.com/scl/fi/lk9io8es18fmh1shi9r1q/metadata_ribogrove_19.225.zip?rlkey=x8i9efqumlbtya5hq7hkhdvz5&st=aamks0u1&dl=0	https://zenodo.org/records/17193566/files/metadata_ribogrove_19.225.zip?download=1
20.226	sequences	https://www.dropbox.com/scl/fi/y0sxfnqy7iehogz7vqj43/ribogrove_20.226_sequences.fasta.gz?rlkey=d6iz5sibxidoizsw29fbj9eqg&st=765kz8s6&dl=0	https://zenodo.org/records/17193679/files/ribogrove_20.226_sequences.fasta.gz?download=1
20.226	metadata	https://www.dropbox.com/scl/fi/dqyp8b91q1c3x1v44ijbu/metadata_ribogrove_20.226.zip?rlkey=0kz7lqg3d285l61fk3c3oj1z3&st=0htb3r7n&dl=0	https://zenodo.org/records/17193679/files/metadata_ribogrove_20.226.zip?download=1
21.227	sequences	https://www.dropbox.com/scl/fi/dv7wnh4kv5gb7poiffblv/ribogrove_21.227_sequences.fasta.gz?rlkey=mp0e7odfdawu8agz0knppd2q5&st=5n60ym98&dl=0	https://zenodo.org/records/17199879/files/ribogrove_21.227_sequences.fasta.gz?download=1
21.227	metadata	https://www.dropbox.com/scl/fi/ts4q1krwzsgntj8o8acss/metadata_ribogrove_21.227.zip?rlkey=clptjp24l2y8cur5al8ba3i1m&st=tz87tzhy&dl=0	https://zenodo.org/records/17199879/files/metadata_ribogrove_21.227.zip?download=1
22.228	sequences	https://www.dropbox.com/scl/fi/i06c815r8resp8ob9lpex/ribogrove_22.228_sequences.fasta.gz?rlkey=5hqffjj3x7yrgbttgy76cpvgi&st=u7yf4znn&dl=0	https://zenodo.org/records/17200498/files/ribogrove_22.228_sequences.fasta.gz?download=1
22.228	metadata	https://www.dropbox.com/scl/fi/7g1vow1kajgqqb11s9hiz/metadata_ribogrove_22.228.zip?rlkey=1m6uvu73p7liywwuw5oiffdwv&st=wmg8f30v&dl=0	https://zenodo.org/records/17200498/files/metadata_ribogrove_22.228.zip?download=1
23.229	sequences	https://www.dropbox.com/scl/fi/rj164ushmjd9rrot1x81h/ribogrove_23.229_sequences.fasta.gz?rlkey=05byhj1imum2h5ge10sm0nqyt&st=htjbi0v4&dl=0	https://zenodo.org/records/17200783/files/ribogrove_23.229_sequences.fasta.gz?download=1
23.229	metadata	https://www.dropbox.com/scl/fi/ok93owzkz6w7u6hte3ypg/metadata_ribogrove_23.229.zip?rlkey=9qjqjv5rk3c7mkdemq90r7mwn&st=32fwac5r&dl=0	https://zenodo.org/records/17200783/files/metadata_ribogrove_23.229.zip?download=1
24.230	sequences	https://www.dropbox.com/scl/fi/b2tcbkv1526jpm95ib70p/ribogrove_24.230_sequences.fasta.gz?rlkey=xvboqqpyi18etlsuyicowf6q2&st=z07u7pef&dl=0	https://zenodo.org/records/17201015/files/ribogrove_24.230_sequences.fasta.gz?download=1
24.230	metadata	https://www.dropbox.com/scl/fi/ya8bgq38r9m0s1wb195ba/metadata_ribogrove_24.230.zip?rlkey=27yqo8kxrbqpi4uzlhi8vm4qa&st=30hsr716&dl=0	https://zenodo.org/records/17201015/files/metadata_ribogrove_24.230.zip?download=1
25.231	sequences	https://www.dropbox.com/scl/fi/lru5t7najtycu97b58l35/ribogrove_25.231_sequences.fasta.gz?rlkey=hvjqmz55y4f5ph5huf3di08fs&st=ocau1azr&dl=0	https://zenodo.org/records/17201214/files/ribogrove_25.231_sequences.fasta.gz?download=1
25.231	metadata	https://www.dropbox.com/scl/fi/kpda3f9s7jfm8gvlt9oaz/metadata_ribogrove_25.231.zip?rlkey=miexq5k0jvmborr2muaxtlgpj&st=clse8hut&dl=0	https://zenodo.org/records/17201214/files/metadata_ribogrove_25.231.zip?download=1
26.232	sequences	https://www.dropbox.com/scl/fi/vke4kw2ikoooqzv6fap1x/ribogrove_26.232_sequences.fasta.gz?rlkey=ctdypkvhwz089hk9kh6pres9a&st=y2trswt4&dl=0	https://zenodo.org/records/17201587/files/ribogrove_26.232_sequences.fasta.gz?download=1
26.232	metadata	https://www.dropbox.com/scl/fi/9kwut0ml6c6hinsr9ehsz/metadata_ribogrove_26.232.zip?rlkey=p4zh7xyyyncy8b6kr5j1unk1t&st=7zufcdou&dl=0	https://zenodo.org/records/17201587/files/metadata_ribogrove_26.232.zip?download=1
